Graphics
id  Name
 
0  UIAtlas_Highlight_Cross
1  UIAtlas_Highlight_Dark
2  UIAtlas_Highlight_Fog
3  UIAtlas_Highlight_Light
4  UIAtlas_Highlight_Negative
5  UIAtlas_Highlight_Positive
6  UIAtlas_Highlight_Ring
7  UIAtlas_Highlight_White
8  UIAtlas_Icon_AnvilTool
9  UIAtlas_Icon_AxeTool
10  UIAtlas_Icon_BlueBox
11  UIAtlas_Icon_Cancel
12  UIAtlas_Icon_ClearWork
13  UIAtlas_Icon_Coins
14  UIAtlas_Icon_CommonForest
15  UIAtlas_Icon_CommonPasture
16  UIAtlas_Icon_Compass
17  UIAtlas_Icon_Drop
18  UIAtlas_Icon_Fall
19  UIAtlas_Icon_FarmingTools
20  UIAtlas_Icon_Food
21  UIAtlas_Icon_Gear
22  UIAtlas_Icon_Hammer
23  UIAtlas_Icon_HammerTool
24  UIAtlas_Icon_Herd
25  UIAtlas_Icon_Hourglass
26  UIAtlas_Icon_House
27  UIAtlas_Icon_HousingArea
28  UIAtlas_Icon_Hunting
29  UIAtlas_Icon_Menu
30  UIAtlas_Icon_Mountain
31  UIAtlas_Icon_MoveSpeed
32  UIAtlas_Icon_PickaxeTool
33  UIAtlas_Icon_PlayerTerritory
34  UIAtlas_Icon_RedBox
35  UIAtlas_Icon_Shield
36  UIAtlas_Icon_Spring
37  UIAtlas_Icon_Stone
38  UIAtlas_Icon_Summer
39  UIAtlas_Icon_TileFood1
40  UIAtlas_Icon_TileFood2
41  UIAtlas_Icon_TileFood3
42  UIAtlas_Icon_TileGold1
43  UIAtlas_Icon_TileGold2
44  UIAtlas_Icon_TileGold3
45  UIAtlas_Icon_TileStone1
46  UIAtlas_Icon_TileStone2
47  UIAtlas_Icon_TileStone3
48  UIAtlas_Icon_TileWood1
49  UIAtlas_Icon_TileWood2
50  UIAtlas_Icon_TileWood3
51  UIAtlas_Icon_Tower
52  UIAtlas_Icon_VassalTerritory
53  UIAtlas_Icon_Weapons
54  UIAtlas_Icon_Winter
55  UIAtlas_Icon_Wood
56  UIAtlas_Icon_WorkFarm
57  UIAtlas_Icon_WorkForest
58  UIAtlas_Icon_WorkImpr
59  UIAtlas_Icon_WorkStone
60  UIAtlas_Icon_YellowBox
61  UIAtlas_Icon_Zone
62  UIAtlas_Text_+
63  UIAtlas_Text_-
64  UIAtlas_Text_0
65  UIAtlas_Text_1
66  UIAtlas_Text_2
67  UIAtlas_Text_3
68  UIAtlas_Text_4
69  UIAtlas_Text_5
70  UIAtlas_Text_6
71  UIAtlas_Text_7
72  UIAtlas_Text_8
73  UIAtlas_Text_9
74  Spring_I_FarmFallow
75  Spring_I_FarmGrowing
76  Spring_I_FarmHarvest
77  Spring_I_FarmSowing
78  Spring_I_Hall
79  Spring_I_Hall_Constr
80  Spring_I_LargeHouse
81  Spring_I_LargeHouse_Contr
82  Spring_I_RoundHouse
83  Spring_I_RoundHouse_Contr
84  Spring_I_SmallHouse
85  Spring_I_SmallHouse_Constr
86  Spring_I_Tent
87  Spring_L_DeepWater
88  Spring_L_Fen
89  Spring_L_Forest
90  Spring_L_Hills
91  Spring_L_Moor
92  Spring_L_MoorHills
93  Spring_L_MoorMountains
94  Spring_L_Mountains
95  Spring_L_Parkland
96  Spring_L_Plains
97  Spring_L_ShallowWater
98  Spring_L_WoodedHills
99  Spring_L_WoodedMountains
