Graphics
id  Name
 
0  UIAtlas_Highlight_Cross
1  UIAtlas_Highlight_Dark
2  UIAtlas_Highlight_Fog
3  UIAtlas_Highlight_Light
4  UIAtlas_Highlight_Negative
5  UIAtlas_Highlight_Positive
6  UIAtlas_Highlight_Ring
7  UIAtlas_Highlight_White
8  UIAtlas_Icon_AnvilTool
9  UIAtlas_Icon_AxeTool
10  UIAtlas_Icon_BlueBox
11  UIAtlas_Icon_Cancel
12  UIAtlas_Icon_Coins
13  UIAtlas_Icon_CommonForest
14  UIAtlas_Icon_CommonPasture
15  UIAtlas_Icon_Compass
16  UIAtlas_Icon_Drop
17  UIAtlas_Icon_Fall
18  UIAtlas_Icon_FarmingTools
19  UIAtlas_Icon_Food
20  UIAtlas_Icon_Gear
21  UIAtlas_Icon_Hammer
22  UIAtlas_Icon_HammerTool
23  UIAtlas_Icon_Herd
24  UIAtlas_Icon_House
25  UIAtlas_Icon_HousingArea
26  UIAtlas_Icon_Hunting
27  UIAtlas_Icon_Menu
28  UIAtlas_Icon_Mountain
29  UIAtlas_Icon_MoveSpeed
30  UIAtlas_Icon_PickaxeTool
31  UIAtlas_Icon_PlayerTerritory
32  UIAtlas_Icon_RedBox
33  UIAtlas_Icon_Shield
34  UIAtlas_Icon_Spring
35  UIAtlas_Icon_Stone
36  UIAtlas_Icon_Summer
37  UIAtlas_Icon_TileFood1
38  UIAtlas_Icon_TileFood2
39  UIAtlas_Icon_TileFood3
40  UIAtlas_Icon_TileGold1
41  UIAtlas_Icon_TileGold2
42  UIAtlas_Icon_TileGold3
43  UIAtlas_Icon_TileStone1
44  UIAtlas_Icon_TileStone2
45  UIAtlas_Icon_TileStone3
46  UIAtlas_Icon_TileWood1
47  UIAtlas_Icon_TileWood2
48  UIAtlas_Icon_TileWood3
49  UIAtlas_Icon_Tower
50  UIAtlas_Icon_VassalTerritory
51  UIAtlas_Icon_Weapons
52  UIAtlas_Icon_Winter
53  UIAtlas_Icon_Wood
54  UIAtlas_Icon_WorkFarm
55  UIAtlas_Icon_WorkForest
56  UIAtlas_Icon_WorkStone
57  UIAtlas_Icon_YellowBox
58  UIAtlas_Icon_Zone
59  UIAtlas_Text_+
60  UIAtlas_Text_-
61  UIAtlas_Text_0
62  UIAtlas_Text_1
63  UIAtlas_Text_2
64  UIAtlas_Text_3
65  UIAtlas_Text_4
66  UIAtlas_Text_5
67  UIAtlas_Text_6
68  UIAtlas_Text_7
69  UIAtlas_Text_8
70  UIAtlas_Text_9
71  Spring_I_FarmFallow
72  Spring_I_FarmGrowing
73  Spring_I_FarmHarvest
74  Spring_I_FarmSowing
75  Spring_I_Hall
76  Spring_I_LargeHouse
77  Spring_I_RoundHouse
78  Spring_I_SmallHouse
79  Spring_I_Tent
80  Spring_L_DeepWater
81  Spring_L_Fen
82  Spring_L_Forest
83  Spring_L_Hills
84  Spring_L_Moor
85  Spring_L_MoorHills
86  Spring_L_MoorMountains
87  Spring_L_Mountains
88  Spring_L_Parkland
89  Spring_L_Plains
90  Spring_L_ShallowWater
91  Spring_L_WoodedHills
92  Spring_L_WoodedMountains
